Nakalimutan ni Sami ang pangalan ni Layla.	Sami forgesis la nomon de Layla.	ang	0	0
Para sa Ikaapat na Tao, ang mga Dakilang Utak, walang buhay ang posible kundi ang buhay ng talino; at ang buhay ng talino ay naging walang bunga. Malinaw na isang bagay na higit pa sa isang malaking bahagi ng utak ang kailangan upang malutas ang mas malalim na mga problema sa intelektwal. Samakatuwid, dapat silang lumikha ng bagong kalidad ng utak, o organikong pagbuo ng utak, na may kakayahang makakita o makaunawang imposible sa kasalukuyang estado nito. Kailangan nilang matutunan kung paano gawing muli ang kanilang sariling tisyu sa utak ayon sa isang bagong plano. Sa layuning ito, at bahagyang dahil sa ignoranteng paninibugho sa natural at mas balanseng espesyeng lumikha sa kanila, sinimulan nilang gamitin ang kanilang mga nakuhang espesimen ng espesyeng iyon para sa malaking bagong pagsasagawa ng pananaliksik sa kalikasan ng tisyu ng utak ng tao.	Por la Kvaraj Homoj, la Grandaj Cerboj, ne estis ebla vivo krom la vivo de intelekto; kaj la vivo de intelekto fariĝis senfrukta. Evidente io pli ol nura grandparto de cerbo estis bezonata por la solvado de la pli profundaj intelektaj problemoj. Ili devas do iel krei novan cerbkvaliton, aŭ organikan formadon de cerbo, kapabla je vizio aŭ kompreno neebla en sia nuna stato. Ili devas lerni iel refari siajn proprajn cerbajn histojn laŭ nova plano. Kun ĉi tiu celo, kaj parte pro senscia ĵaluzo de la natura kaj pli ekvilibra specio, kiu ilin kreis, ili komencis uzi siajn kaptitajn specimenojn de tiu specio por granda nova entrepreno de esplorado pri la naturo de homa cerba histo.	imposible	0	0
Nag-iisa ang lola ko.	Mia avino vivas sola.	lola	0	0
Namumulaklak ang mga punong mansanas.	Pomarboj bele floras.	punong	0	0
Naniniwala ako sa eksplorasyon sa kalawakan at tuluyang kolonisasyon ng ating Sistemang Solar, at sa kalaunan ng ating galaksiyang Daang Magatas. Si Elon Musk, ang multibilyunaryo, ay naniniwalang ang sangkatauhan ay dapat yumaman at maging "makaespasyong sibilisasyon at multiplanetaryong espesye." Siya at ako ay magkasundo.	Mi kredas pri spaca esploro kaj eventuala koloniigo de nia Sunsistemo, kaj poste de nia galaksio Lakta Vojo. Elon Musk la multmiliardulo opinias, ke la homaro riĉiĝu kaj fariĝu "spachava civilizo kaj multplaneda specio". Mi kaj li estas en akordo.	daang	0	0
Talagang hindi komportable ang tumira sa bahay na iyon.	Vivi en tiu domo tute ne estas komforte.	komportable	0	0
Ibibigay mo ba sa akin ang iyong numero sa telepono?	Ĉu vi donos al mi vian telefonnumeron?	numero	0	0
Huwag mong sirain ang kasiyahan ng aming kombersasyon.	Ne fuŝu la ĝojon de nia konversacio.	sirain	0	0
Nagsisinungaling ka nang parang magasin!	Vi mensogas kiel gazeto!	nagsisinungaling	0	0
Nagsimula siyang makipag-usap sa mga kapitbahay niya.	Ŝi komencis konversacion kun siaj najbaroj.	makipag-usap	0	0
Nag-aaral ka ba ng Ingles?	Ĉu vi lernas la anglan?	nag-aaral	0	0
Itaas ang berdeng kortina!	Levu la verdan kurtenon!	berdeng	0	0
Sasakyan niya yata ito.	Tio estas lia aŭto, mi pensas.	sasakyan	0	0
Sinusubukan kong magsalin.	Mi provas traduki.	sinusubukan	0	0
Kung minsan, pumigil tayo para mag-isip.	Kelkfoje ni paŭzu por cerbumi.	mag-isip	0	0
Tulog po sila.	Ili dormas.	tulog	0	0
Nabanggit ko kay Michael na Tsino ang bisita ko noong Gradong 6 sa Isla Galiano, at nakita ko roon ang maraming harding ahas na iba-ibang kulay sa mga damo. Kinuha ng mga kaklase ko, at nilagay nila sa kahon para iuwi nila sa Isla Lulu. Nakakita raw si Michael ng harding ahas dito sa Isla Lulu, sa malapit sa Daang Numero 7. Hindi ko alam na may ahas pala rito. Sabi ni Michael na hindi siya mamamayan dito, at nagpapabago siya ng kanyang bisang pangbisita bawat taon. Ang asawa at mga anak niya ay mamamayan dito. Sabi ko'y sa Isla Bali sa Indonesia, natikman ko na ang "bunga ng ahas" o "salak" ang tawag doon.	Mi menciis al Miĥaelo la ĉino, ke mi vizitis dum la klaso 6 al Galiano-insulo, kaj tie mi vidis multajn ĝardenajn serpentojn diverskolorajn en la herbo. Miaj samklasanoj prenis ilin, kaj ili metis ilin en skatolojn por porti hejmen al Lulu-insulo. Miĥaelo supozeble vidis ĝardenan serpenton ĉi tie sur Lulu-insulo, proksime al Stratego Numero 7. Mi ne sciis, ke ĉi tie ekzistas serpentoj. Miĥaelo diras, ke li ne estas civitano ĉi tie, kaj li renovigas sian vizitantan vizon ĉiujare. Liaj edzino kaj infanoj estas civitanoj ĉi tie. Mi diris, ke sur Bali-insulo en Indonezio, mi gustumis la "serpentan frukton" aŭ "salak"-on kiel ĝi nomiĝas tie.	mamamayan	0	0
Kinaumagahan nang ika-18 ng Oktubre ng 2021, pinag-usapan namin ni Hans na Olandes ang tungkol sa Nederlandiya. Uminom siya ng regular na kape, at uminom ako ng medyum na mayelong berdeng tsaa, sa kapihang Istarbaks. Dumating siya sa Canada mula sa Nederlandiya noong siya ay 10 taong gulang lamang. Dumating ako sa Canada mula sa Pilipinas noong 10 taong gulang din ako. Sinabi ko sa kanyang bumisita ako sa Nederlandiya at nasisiyahan sa lumang arkitektura sa Amsterdam, ngunit hindi ko nakita ang sakahan ng mga tulip sa labas ng lungsod. Tinuruan niya ako kung paano bigkasin ang "van Gogh." Marunong pa rin siya ng Olandes.	La 18-an de oktobro de 2021 matene, mi kaj Hans la nederlandano parolis pri Nederlando. Li trinkis regulan kafon, kaj mi trinkis mezgrandan glacian verdan teon, ĉe la kafejo Starbukso. Li alvenis al Kanado el Nederlando, kiam li estis nur 10-jaraĝa. Mi alvenis al Kanado el Filipinoj, kiam mi estis ankaŭ 10-jaraĝa. Mi diris al li, ke mi vizitis Nederlandon kaj ĝuis la oldan arkitekturon en Amsterdamo, sed mi ne vidis la tulipejon ekster la urbo. Li instruis min kiel oni prononcas "van Gogh". Li ankoraŭ scipovas la nederlandan.	marunong	0	0
Luminaw ang mga pulang bulaklak sa mga luntian.	La brile ruĝaj floroj ellumis el la verdaĵoj.	bulaklak	0	0
Nakita ko si Miguel na Tsino sa kapihang Istarbaks sa Isla Lulu nang ika-25 ng Oktubre ng 2021. Nakasuot siya ng itim na dyaket para sa motorsiklo. Mayroon daw siyang motorsiklong Ducati ng Italya. Binanggit niya ang isang babaeng nagkantot ng tatlong ibang lalaki sa jacuzzi. Pinag-usapan namin ang mga seksong sakit. Tapos, pinag-usapan namin ang mga diaspora ng mga Tsino sa mundong ito. Ang mga Kantones ay sa Anglospera. Ang mga Hokkien ay sa Taiwan at Timog-silangang Asya. Hokkien ang mga ninuno ko, sabi ko. Binanggit niya ang mga Taga-Wenzhou, yaong maraming pumunta'y sa Europa.	Mi vidis Miĥaelon la ĉino ĉe la kafejo Starbukso sur Lulu-insulo la 25-an de oktobro de 2021. Li portis nigran motorciklan jakon. Li diris, ke li posedas Ducati-motorciklon el Italio. Li menciis virinon, kiu fikis tri malsamajn virojn en kirlakva banujo. Ni parolis pri seksaj malsanoj. Poste, ni parolis pri la diasporoj de la ĉinoj en ĉi tiu mondo. La kantonanoj estas en la Anglosfero. La hokkienoj estas en Tajvano kaj Sudorienta Azio. Miaj prapatroj estis hokkienoj, mi diris. Li menciis la Wenzhou-anojn, el kiuj multaj iris al Eŭropo.	europa	0	0
Papuntang siyudad ako.	Mi iras en la urbon.	siyudad	0	0
Tulad ng nabanggit na, ang Ikatlong Tao ay madaling kapitan ng mga yugto ng pagkaabala sa sinaunang pagnanasa para sa personal na kawalang-kamatayan. Ang kasakimang ito ay madalas na malakas sa mga Unang Tao; at maging ang Pangalawang Tao, sa kabila ng kanilang dakilang kaloob ng detatsment, kung minsan ay pinahihintulutan sila ng kanilang paghanga sa personalidad ng taong hikayatin silang ang mga kaluluwa ay mabubuhay magpakailanman. Ang panandalian at di-teoretikal na Ikatlong Tao, kasama ang kanilang pagkahilig sa lahat ng uri ng buhay, at lahat ng pagkakaiba-iba ng mahahalagang pag-uugali, ay naglihi ng imortalidad sa iba't ibang paraan. Sa kanilang huling kultura, naisip nilang sa kamatayan ang lahat ng nabubuhay na bagay na sinang-ayunan ng Diyos-Buhay ay dumaan sa ibang mundo, na halos kapareho sa kilalang mundo, ngunit mas masaya. Doon sila ay sinasabing nanirahan sa presensya ng diyos, na naglilingkod sa kanya sa walang pigil na mahahalagang pagkamalikhain nang iba't ibang uri.	Kiel jam dirite, la Triaj Homoj estis emaj al fazoj de okupiteco kun la antikva avido al persona senmorteco. Ĉi tiu avido ofte estis forta inter la Unuaj Homoj; kaj eĉ la Duaj Homoj, malgraŭ sia granda dono de malligo, kelkfoje permesis, ke ilia admiro por homa personeco persvadi ilin, ke animoj devas vivi eterne. La mallongdaŭraj kaj neteoriaj Triaj Homoj, kun sia pasio por ĉiaspecaj vivaĵoj, kaj la tuta diverseco de esenca konduto, konceptis senmortecon en diversaj manieroj. En sia fina kulturo ili imagis, ke ĉe la morto ĉiuj vivaĵoj, kiujn aprobis la Vivo-Dio, transiris en alian mondon, tre similan al la konata mondo, sed pli feliĉa. Tie ili laŭdire vivis en la ĉeesto de la diaĵo, servante lin en senbrida esenca kreivo de diversaj specoj.	mabubuhay	0	0
Iguhit ng linya sa A hanggang B.	Streku linion de A al B.	b	0	0
Kasali na ba ang manirahan sa presyo?	Ĉu la prezo inkluzivas loĝadon?	kasali	0	0
Nakatindig ang kutsarita sa maliit na baso.	La kulereto staras en la glaseto.	baso	0	0
Patapos ang biyahe sa Paris.	La vojaĝo finiĝos en Parizo.	biyahe	0	0
Isara!	Malfermu!	isara	0	0
Di nabibili lahat ng ginto.	La oro ne ĉion aĉetas.	ginto	0	0
Di siya nakasuot ng sombrero.	Li ne portis ĉapelon.	nakasuot	0	0
Anumang nangyari ay nangyari na.	Kio okazis, okazis.	anumang	0	0
Dumaan ako sa tabi ng bahay niya kahapon.	Mi preterpasis ŝian domon hieraŭ.	dumaan	0	0
Ang problema ng paglalakbay sa pagitan ng mga bituin ay napaka-kaakit-akit na kung minsan ay nagiging isang kinahuhumalingan kahit na sa isang medyo mahusay na binuong utopiyang mundo. Ito ay maaaring mangyari lamang kung mayroong isang bagay na hindi malusog sa konstitusyon ng mundong iyon, isang uri ng lihim at hindi natutupad na kagutumang nagtutulak sa mga nilalang. Baka mabaliw sa pagbiyabiyahe ang rasa.	La problemo de interstela vojaĝado estis tiel alloga, ke ĝi kelkfoje fariĝis obsedo eĉ al sufiĉe bonevoluinta utopia mondo. Tio povus okazi nur, se en la konstitucio de tiu mondo estis io nesana, ia sekreta kaj neplenumita malsato, kiu pelas la estaĵojn. La raso tiam eble iĝos vojaĝ-freneza.	mayroong	0	0
Sa maraming ikasang milyon ay nagiging mga milyon.	El multaj milonoj fariĝas milionoj.	milyon	0	0
Dapat matuto tayong tumira sa armonya sa kalikasan.	Ni devas lerni vivi en harmonio kun la naturo.	tumira	0	0
Ang mas matandang siyudad ang mas maraming ginagawang basura.	Ju pli malnova estas urbo, des pli da rubaĵo ĝi produktas.	basura	0	0
Sa tsaahan ngayong malamig at umuulang umaga nang ika-16 ng Abril ng 2023, umiinom ako ng Istrobering Abenang Matchang Latte at kumakain ng mga tsip na patatas. Ang baristang gumawa ng inumin ko ay isang Ingles-Hapones na mestisong si Chris. May regular na kostumer na dumating. Matangkad at malaking lalaking kayumanggi ang buhok, at kasama niya ang maliit na anak niyang babaeng mukhang Inglesa-Intsik na mestisa. Sa isang mesa, may mga regular nang mga Sabado at Linggo. May isang Ingles, Latino, at Intsik na atletiko. Kausap nila si Brian na maitim ang buhok at balbasing Eskoses na mayaman. May tagawalis sa parking lot. Bumbay siyang Taga-Fiji. Ang pangalan ay Benny.	Ĉe la teejo dum ĉi tiu malvarma kaj pluva mateno de la 16-a de aprilo de 2023, mi trinkis fragan avenan matĉan lateon kaj manĝis fritojn. La baristo, kiu faris mian trinkaĵon, estis Chris, angla-japana miksrasulo. Venis kutima kliento. Estis alta, granda viro kun bruna hararo, kaj kun li estis lia filineto, kiu aspektis kiel angla-ĉina miksrasulino. Ĉe unu tablo, estis regulaj klientoj dum sabatoj kaj dimanĉoj. Estis anglo, latineskulo, kaj ĉino kun atleta aspekto. Ili parolis kun Brian, kiu estis riĉa skoto kun malhelaj hararo kaj barbo. Estis balaisto en la aŭtomobila parkejo. Li, baratano, devenis de Fiĝioj. La nomo estis Benny.	matangkad	0	0
Sinulat niya ang report.	Li skribis raporton.	sinulat	0	0
Ang ganda ng mundo!	La mondo estas bela!	ganda	0	0
Ginagamit ko ang mangkok at kutsara.	Mi uzas bovlon kaj kuleron.	kutsara	0	0
Naobserbahan natin ang kapalaran ng walong magkakasunod na espesye ng tao sa loob nang isang bilyong taon, ang unang kalahati ng kislap na iyon ay ang tagal ng tao. Sampung higit pang mga espesye ngayon ay nagtatagumpay sa isa't isa, o naroroon, sa kapatagan ng Neptuno. Kami, ang Huling Sangkatauhan, ay ang Ikalabingwalong Sangkatauhan. Sa walong espesye bago sa Neptuno, ang ilan, gaya ng nakita natin, ay palaging nananatiling primitibo; marami ang nakamit ang hindi bababa sa isang nalilito at panandaliang sibilisasyon, at ang isa, ang makinang na Ikalima, ay nagising na sa totoong sangkatauhan nang durugin ito ng kasawian. Ang sampung uri ng Neptuno ay nagpapakita ng mas malaking pagkakaiba-iba. Ang mga ito ay mula sa likas na hayop hanggang sa mga paraan ng kamalayang hindi pa natatamo. Ang walang alinlangang mga subhumanong mabulok na uri ay limitado halos sa unang anim na raang milyong taon ng pananatili ng mga tao sa Neptuno.	Ni observis la sorton de ok sinsekvaj homaj specioj dum miliardo da jaroj, la unua duono de tiu flagrado, kiu estas la daŭro de la homo. Dek pliaj specioj nun sukcedas unu la alian, aŭ estas nuntempaj, sur la ebenaĵoj de Neptuno. Ni, la Lastaj Homoj, estas la Dekokaj Homoj. El la ok antaŭneptuniaj specioj, iuj, kiel ni vidis, restis ĉiam primitivaj; multaj atingis almenaŭ konfuzitan kaj paseman civilizacion, kaj unu, la brila Kvina, jam vekiĝis en la veran homaron, kiam la malfeliĉo dispremis ĝin. La dek neptunaj specioj montras eĉ pli grandan diversecon. Ili intervalas de la instinkta besto ĝis manieroj de konscio neniam antaŭe atingitaj. La sendube subhomaj degeneritaj tipoj estas limigitaj plejparte al la unuaj sescent milionoj da jaroj de la restado de homoj sur Neptuno.	sangkatauhan	0	0
Sa sulok ng kuwarto ay isang mesa.	En la angulo de la ĉambro estas tablo.	sulok	0	0
Magtiwasay kung anuman ang mangyari.	Restu trankvile kio ajn okazos.	anuman	0	0
Sa tsaahan ngayong malamig at umuulang umaga nang ika-16 ng Abril ng 2023, umiinom ako ng Istrobering Abenang Matchang Latte at kumakain ng mga tsip na patatas. Ang baristang gumawa ng inumin ko ay isang Ingles-Hapones na mestisong si Chris. May regular na kostumer na dumating. Matangkad at malaking lalaking kayumanggi ang buhok, at kasama niya ang maliit na anak niyang babaeng mukhang Inglesa-Intsik na mestisa. Sa isang mesa, may mga regular nang mga Sabado at Linggo. May isang Ingles, Latino, at Intsik na atletiko. Kausap nila si Brian na maitim ang buhok at balbasing Eskoses na mayaman. May tagawalis sa parking lot. Bumbay siyang Taga-Fiji. Ang pangalan ay Benny.	Ĉe la teejo dum ĉi tiu malvarma kaj pluva mateno de la 16-a de aprilo de 2023, mi trinkis fragan avenan matĉan lateon kaj manĝis fritojn. La baristo, kiu faris mian trinkaĵon, estis Chris, angla-japana miksrasulo. Venis kutima kliento. Estis alta, granda viro kun bruna hararo, kaj kun li estis lia filineto, kiu aspektis kiel angla-ĉina miksrasulino. Ĉe unu tablo, estis regulaj klientoj dum sabatoj kaj dimanĉoj. Estis anglo, latineskulo, kaj ĉino kun atleta aspekto. Ili parolis kun Brian, kiu estis riĉa skoto kun malhelaj hararo kaj barbo. Estis balaisto en la aŭtomobila parkejo. Li, baratano, devenis de Fiĝioj. La nomo estis Benny.	kausap	0	0
Sinulat niya ang report.	Li skribis raporton.	report	0	0
Pahintulutan, binibini, na masabi kong nagkakamali ka.	Permesu, sinjorino, ke mi diru al vi, vi eraras.	nagkakamali	0	0
Nakikinig ba kayong lahat sa akin?	Ĉu vi ĉiuj aŭskultas min?	nakikinig	0	0
Para sa Ikaapat na Tao, ang mga Dakilang Utak, walang buhay ang posible kundi ang buhay ng talino; at ang buhay ng talino ay naging walang bunga. Malinaw na isang bagay na higit pa sa isang malaking bahagi ng utak ang kailangan upang malutas ang mas malalim na mga problema sa intelektwal. Samakatuwid, dapat silang lumikha ng bagong kalidad ng utak, o organikong pagbuo ng utak, na may kakayahang makakita o makaunawang imposible sa kasalukuyang estado nito. Kailangan nilang matutunan kung paano gawing muli ang kanilang sariling tisyu sa utak ayon sa isang bagong plano. Sa layuning ito, at bahagyang dahil sa ignoranteng paninibugho sa natural at mas balanseng espesyeng lumikha sa kanila, sinimulan nilang gamitin ang kanilang mga nakuhang espesimen ng espesyeng iyon para sa malaking bagong pagsasagawa ng pananaliksik sa kalikasan ng tisyu ng utak ng tao.	Por la Kvaraj Homoj, la Grandaj Cerboj, ne estis ebla vivo krom la vivo de intelekto; kaj la vivo de intelekto fariĝis senfrukta. Evidente io pli ol nura grandparto de cerbo estis bezonata por la solvado de la pli profundaj intelektaj problemoj. Ili devas do iel krei novan cerbkvaliton, aŭ organikan formadon de cerbo, kapabla je vizio aŭ kompreno neebla en sia nuna stato. Ili devas lerni iel refari siajn proprajn cerbajn histojn laŭ nova plano. Kun ĉi tiu celo, kaj parte pro senscia ĵaluzo de la natura kaj pli ekvilibra specio, kiu ilin kreis, ili komencis uzi siajn kaptitajn specimenojn de tiu specio por granda nova entrepreno de esplorado pri la naturo de homa cerba histo.	bahagi	0	0
Naniniwala ang mga Budistang ang lahat ng mga gawain o bagay ay talagang mga kastilyong buhangin.	Budaistoj kredas, ke ĉiuj aferoj aŭ objektoj estas ja sablokasteloj.	gawain	0	0
Ipinanganak ako noong ika-10 ng Oktubre 1972.	Mi naskiĝis la 10an de oktobro 1972.	ipinanganak	0	0
Tinapos mo na bang basahin ang libro?	Ĉu vi finis legi la libron?	tinapos	0	0
Naririnig mo ba ang mga dahon sa ilalim ng magaan na talampakan ng birhen? Nakikita mo bang tumatakas ang mga anino ng kanyang aninag na balabal at mga tutop ng kanyang tunika? Naaamoy mo ba ang pabangong nasa harap niyang katulad ng tagapagpauna ng anito?	Ĉu vi aŭdas la foliojn suspiri sub la malpeza plando de virgulino? Ĉu vi vidas flirti inter ombroj la bordojn de ŝia diafana ŝalo kaj la orlojn de ŝia blanka tuniko? Ĉu vi sentas la parfumon kiu antaŭas ŝin kiel heroldo de feo?	anino	0	0
Sa tsaahan ngayong malamig at umuulang umaga nang ika-16 ng Abril ng 2023, umiinom ako ng Istrobering Abenang Matchang Latte at kumakain ng mga tsip na patatas. Ang baristang gumawa ng inumin ko ay isang Ingles-Hapones na mestisong si Chris. May regular na kostumer na dumating. Matangkad at malaking lalaking kayumanggi ang buhok, at kasama niya ang maliit na anak niyang babaeng mukhang Inglesa-Intsik na mestisa. Sa isang mesa, may mga regular nang mga Sabado at Linggo. May isang Ingles, Latino, at Intsik na atletiko. Kausap nila si Brian na maitim ang buhok at balbasing Eskoses na mayaman. May tagawalis sa parking lot. Bumbay siyang Taga-Fiji. Ang pangalan ay Benny.	Ĉe la teejo dum ĉi tiu malvarma kaj pluva mateno de la 16-a de aprilo de 2023, mi trinkis fragan avenan matĉan lateon kaj manĝis fritojn. La baristo, kiu faris mian trinkaĵon, estis Chris, angla-japana miksrasulo. Venis kutima kliento. Estis alta, granda viro kun bruna hararo, kaj kun li estis lia filineto, kiu aspektis kiel angla-ĉina miksrasulino. Ĉe unu tablo, estis regulaj klientoj dum sabatoj kaj dimanĉoj. Estis anglo, latineskulo, kaj ĉino kun atleta aspekto. Ili parolis kun Brian, kiu estis riĉa skoto kun malhelaj hararo kaj barbo. Estis balaisto en la aŭtomobila parkejo. Li, baratano, devenis de Fiĝioj. La nomo estis Benny.	umiinom	0	0
Inaasahan kong hindi nakakaaburido sa iyo ang kuwento ko.	Mi esperas, ke mia rakonto ne enuigos vin.	inaasahan	0	0
Pinatunayan mo ang lahat ng mga pangarap ko.	Vi realigis ĉiujn miajn revojn.	pangarap	0	0
Sadyang nahulog ang klawn.	La klaŭno intence falis.	nahulog	0	0
Mukhang mayaman ang babaeng iyon.	Tiu virino aspektas riĉa.	mayaman	0	0
Pumunta ako sa Tokyo para bilhin yung libro.	Mi iris al Tokio por aĉeti tiun libron.	tokyo	0	0
Tumatawa ang buong grupo.	La tuta grupo ridas.	grupo	0	0
Kailan matatapos ang tag-ulan?	Kiam finiĝos la pluvtempo?	matatapos	0	0
Bibilhin ko; di bale na ang presyo!	Mi aĉetas ĝin, prezo ne gravas!	presyo	0	0
Ang pinakadakilang kaaway ng katotohanan ay hindi ang kasinungalingan—sinadya, artipisyal, hindi tapat, ngunit ang mito—patuloy, nakatutukso, at hindi totoo.	La plej granda malamiko de la vero ne estas la mensogo - intenca, artefarita, malhonesta, sed la mito - persista, tenta kaj nereala.	tapat	0	0
Sa lungsod na iyon sa silangan, mayroong maraming henerasyon ng mga taong mga apartment ang tirahan.	En tiu orienta urbo, homoj loĝis multgeneracie en apartamentoj.	tirahan	0	0
Kahit na may mga hulaan sa salaysaying makaagham, di tayo ngayon lumilipad nang nakaroket sa bakpak, ni tayo nagbabakasyon sa Buwan, ni tayo kumakain nang pilduras ang nilulunok, at ni tayo nasasarapan sa luhong walang ginagawa habang gumagawa ng lipunang kayamanan ang mga robot.	Spite al prognozoj de la scienfikcia literaturo ni hodiaŭ ne flugas per raketa dorsosako, nek ni ferias surlune; niajn manĝojn ni ne glutas pilole kaj ni ne ĝuas luksan nenifaradon, dum robotoj kreas la sociajn riĉaĵojn.	hulaan	0	0
May nakitang usok galing sa bintana.	Videblis fumo eliĝanta el la fenestro.	nakitang	0	0
May nakitang usok galing sa bintana.	Videblis fumo eliĝanta el la fenestro.	usok	0	0
Talagang nagsisisi nang bawat segundo 1900 kuwadradong metro ng lupa ay nagiging desyerto.	Tre bedaŭrinde ĉiun sekundon 1900 kvadrataj metroj da grundo iĝas dezerto.	segundo	0	0
Nagsabi siya ng katotohanan.	Li parolis la veron.	nagsabi	0	0
Libre ako; puwede kong gawin o hindi sa kagustuhan ko.	Mi estas libera, povas fari kaj ne fari kion mi volas.	libre	0	0
Mahilig magbasa ang lolo ko.	Mia avo ĝuis legi.	lolo	0	0
May ilang sistema para isulat ang wikang Hokkien: mga logogramang may kasamang mga Bopomofo, mga logogramang may kasamang mga Katakana, mga logograma, mga logogramang may kasamang mga letrang Romano, at ilang sistemang ginagamit ang mga letrang Romano lamang: Pe̍h-ōe-jī (POJ), Bbánlám pìngyīm, Daighi tongiong pingim, Modernong Literal na Taywanes (MLT), Phofsit Daibuun, Tâi-uân Lô-má-jī Phing-im Hong-àn, at Taywang Lengguwaheng Ponetikong Alpabeto (TLPA). Mayroong hindi mababa sa 11 metodong pagsusulat ang wikang Hokkien.	Ekzistas kelkaj sistemoj por skribi la hoklan: per logogramoj kun bopomofoj, per logogramoj kun strekaj kanaoj, per logogramoj, per logogramoj kun romliteroj, kaj per kelkaj romliteraj sistemoj, nome Pe̍h-ōe-jī (POJ), Bbánlám pìngyīm, Daighi tongiong pingim, Moderna Laŭvorta Tajvana (MLT), Phofsit Daibuun, Tâi-uân Lô-má-jī Phing-im Hong-àn, kaj la Tajvanlingva Fonetika Alfabeto (TLPA). Ekzistas almenaŭ 11 metodoj por skribi la hoklan, la hokkienan.	sistema	0	0
Mga dalub-agham ang nakahanap ng sagot sa mga tanong na iyon.	Sciencistoj ektrovis respondojn al tiuj demandoj.	sagot	0	0
Anong klaseng sandwich kayo meron?	Kiajn sandviĉojn vi havas?	klaseng	0	0
Ang problema ng paglalakbay sa pagitan ng mga bituin ay napaka-kaakit-akit na kung minsan ay nagiging isang kinahuhumalingan kahit na sa isang medyo mahusay na binuong utopiyang mundo. Ito ay maaaring mangyari lamang kung mayroong isang bagay na hindi malusog sa konstitusyon ng mundong iyon, isang uri ng lihim at hindi natutupad na kagutumang nagtutulak sa mga nilalang. Baka mabaliw sa pagbiyabiyahe ang rasa.	La problemo de interstela vojaĝado estis tiel alloga, ke ĝi kelkfoje fariĝis obsedo eĉ al sufiĉe bonevoluinta utopia mondo. Tio povus okazi nur, se en la konstitucio de tiu mondo estis io nesana, ia sekreta kaj neplenumita malsato, kiu pelas la estaĵojn. La raso tiam eble iĝos vojaĝ-freneza.	bituin	0	0
Nawalan siyang ganang maghanap.	Mi perdis la emon de ŝercado.	nawalan	0	0
Trangkilidad sa diwa ang nakukuha kung di na umaasa.	Animan trankvilon oni akiras, kiam oni ne plu esperas.	nakukuha	0	0
May mahigit nang pitong libong wika sa daigdig.	Estas pli ol sep mil lingvoj en la mondo.	mahigit	0	0
Kita natin ang mga malalaking oso ng gubat.	Ni vidas la grandajn ursojn de la arbaro.	oso	0	0
Para sa Ikaapat na Tao, ang mga Dakilang Utak, walang buhay ang posible kundi ang buhay ng talino; at ang buhay ng talino ay naging walang bunga. Malinaw na isang bagay na higit pa sa isang malaking bahagi ng utak ang kailangan upang malutas ang mas malalim na mga problema sa intelektwal. Samakatuwid, dapat silang lumikha ng bagong kalidad ng utak, o organikong pagbuo ng utak, na may kakayahang makakita o makaunawang imposible sa kasalukuyang estado nito. Kailangan nilang matutunan kung paano gawing muli ang kanilang sariling tisyu sa utak ayon sa isang bagong plano. Sa layuning ito, at bahagyang dahil sa ignoranteng paninibugho sa natural at mas balanseng espesyeng lumikha sa kanila, sinimulan nilang gamitin ang kanilang mga nakuhang espesimen ng espesyeng iyon para sa malaking bagong pagsasagawa ng pananaliksik sa kalikasan ng tisyu ng utak ng tao.	Por la Kvaraj Homoj, la Grandaj Cerboj, ne estis ebla vivo krom la vivo de intelekto; kaj la vivo de intelekto fariĝis senfrukta. Evidente io pli ol nura grandparto de cerbo estis bezonata por la solvado de la pli profundaj intelektaj problemoj. Ili devas do iel krei novan cerbkvaliton, aŭ organikan formadon de cerbo, kapabla je vizio aŭ kompreno neebla en sia nuna stato. Ili devas lerni iel refari siajn proprajn cerbajn histojn laŭ nova plano. Kun ĉi tiu celo, kaj parte pro senscia ĵaluzo de la natura kaj pli ekvilibra specio, kiu ilin kreis, ili komencis uzi siajn kaptitajn specimenojn de tiu specio por granda nova entrepreno de esplorado pri la naturo de homa cerba histo.	talino	0	0
Pagkatapos ng hatinggabi sa Torremolinos sa Espanya nang makalabas ako sa aking otel at naglakad pababa sa matarik na dalisdis patungo sa dalampasigan. Habang nasa daan, nakita ko ang isang nakakaintrigang berdeng metal na pintuan sa harap ng bahay, kung saan sa marmol ay may nakasulat na "Jardín de las Mercedes" o "Hardin ng Awa" mula sa residensiyang numero 28. Sa dalampasigan, madilim at tahimik. May mga palapang kanlungan sa tabi ng dalampasigan. Ang kaisa-isang taong nakita ko noong gabing iyon ay mukhang Mehikano, naglalakad.	Estis post noktomezo en Torremolinos en Hispanio, kiam mi eliris el mia hotelo kaj marŝis laŭ la kruta deklivo al la plaĝo. Survoje, mi vidis intrigegan verdan metalan antaŭhejman pordegon, super kiu sur marmoro, skribiĝis "Jardín de las Mercedes" aŭ "Ĝardeno de la Kompatoj" de loĝejo de numero 28. Ĉe la plaĝo, estis mallume kaj trankvile. Ekzistis "palapas" aŭ palmfoliaj ŝirmejoj laŭlonge de la plaĝo. La sola alia persono, kiun mi vidis tiun nokton, aspektis kiel meksikano, promenanta.	metal	0	0
Nilambat ko ang mga paruparo.	Mi rete kaptis papiliojn.	paruparo	0	0
Nagsasalita siyang musmos na maligaya.	Ŝi balbutas je feliĉo.	nagsasalita	0	0
